Imatest,24.2.6, Master, SFR batch

Width & Height (pxl), 6024, 4020
Zone weights (Ctr-PtWy-Cor),  1.00,  0.75,  0.50
roi_mult, 3453  1908  3677  2317 ; 
Regions,1
Center,1
Part way,0
Corner,0

Secondary_rdout_1, MTF50.
Secondary_rdout_2, .
Date, 08-May-2025 09:48:24,08-May-2025 09:48:24,08-May-2025 09:48:24,08-May-2025 09:48:24,08-May-2025 09:48:24,08-May-2025 09:48:24,
File, car_55.0 mm_6400ISO_+1EV_Dist1_OFF_Defocus2.tiff,car_55.0 mm_6400ISO_+1EV_Dist1_OFF_Defocus1.tiff,car_55.0 mm_6400ISO_+1EV_Dist1_ON_Defocus2.tiff,car_55.0 mm_6400ISO_+1EV_Dist1_ON_Defocus1.tiff,car_55.0 mm_6400ISO_+1EV_Dist1_OFF_Focused.tiff,car_55.0 mm_6400ISO_+1EV_Dist1_ON_Focused.tiff,
Camera, , , , , , 
Lens, , , , , , 
ISO speed, , , , , , 
Focal length, 18, 18, 18, 18, 18, 18
Shutter speed, , , , , , 
Aperture, f/11, f/11, f/11, f/11, f/11, f/11

Plot title

Summary results for creating plots

CA (area %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (crossing %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (R-G %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
CA (B-G %) Wtd mean,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
MTF50C (Cy/Pxl) Wtd mean,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
MTF Area PkNorm (Cy/Pxl) Wtd mean,  0.0760,  0.0760,  0.0711,  0.0732,  0.1844,  0.1880
s1-MTF50. Wtd mean,     0.00859,     0.01887,     0.00865,     0.01869,     0.16140,     0.15848
Shannon capacity Wtd mean,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
Info Capacity C_4 Wtd mean,  0.06,  0.09,  0.06,  0.08,  0.37,  0.36
Info Capacity C_max Wtd mean,  0.96,  0.70,  0.88,  0.63,  1.54,  1.52
SNRi 2x8 pixels Wtd mean,  6.41,  3.88,  5.49,  2.89, 13.69, 13.82
Edge location sigma 2x8 Wtd mean,  1.93,  3.04,  2.48,  4.06,  3.74,  4.11
